Area,Site #,Latitude,Longitude,elevation (m),Rock type,S dominant,,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,other foliations,other L,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
"Kangchenzunga National Park, From Chungthang up EAST limb of Tista river LACHENG",SK32,27.67530556,88.73288889,2610,,070/35NW,70,340,35,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,040/23NW,40,310,23,,,,,,,,,,,,,,,,,,,,,,
,SK33,27.64952778,88.72025,2361,,300/60N,300,30,60,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,306/45N,306,36,45,,,,,,,,,,,,,,,,,,,,,,
,SK34,27.63883333,88.71186111,2290,,065-70/vert,67,337,90,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,000/70E,0,90,70,,,,,,,,,,,,,,,,,,,,,,
,,,,,,035/50E,35,125,50,,,,,,,,,,,,,,,,,,,,,,
,SK35,27.63394444,88.70422222,2204,,106/69N,106,16,69,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,146/58NE,146,56,58,,,,,,,,,,,,,,,,,,,,,,
,SK36,27.62802778,88.68586111,2021,,060/19N,60,330,19,,,,,,,,,,,,,,,no,,,,,,,
,SK37,27.62780556,88.68569444,2000,,020/38W,20,290,38,,,,,,,,,,,,,,,no,,,,,,,
,SK38,27.62377778,88.66791667,1875,,315/55NE,315,45,55,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,335/80W,335,245,80,,,,,,,,,,,,,,,,,,,,,,
,,,,,,197/sv,197,107,90,,,,,,,,,,,,,,,,,,,,,,
,,,,,,320/55N,320,50,55,,,,,,,,,,,,,,,,,,,,,,
,SK39,27.62416667,88.66913889,1866,,340/43E,340,70,43,,,,,,,,,,,,,,,no,,,,,,,
Tingbong/Lingthem road from Mangan to Lachung River crossing,SK40,27.49655556,88.53136111,1150,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK41,27.50966667,88.53966667,1250,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK42,27.51602778,88.53886111,1273,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK43,27.51541667,88.56238889,1384,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK44,27.51505556,88.58,1420,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK1,27.47583333,88.52691667,826,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK2,27.48002778,88.52908333,926,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK2,27.4925,88.52836111,,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK3,27.48258333,88.52961111,970,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK4,27.51797222,88.54005556,1270,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK5,27.51805556,88.54758333,1301,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK6,27.51558333,88.56686111,1399,,005/40E,5,95,40,012/34,12,34,,,,,,,,,,stretching,,no,,,,,granite is crenulated,,
,,,,,,358/60E,358,88,60,,,,,,,,,,,,,,,,,,,,,,
,SK7,27.51430556,88.57761111,1438,,335/sv,335,245,90,335/29,335,29,,,,,,,,,,stretching,,no,,,,,,,
,SK8,27.51430556,88.58263889,1477,,352/sv,352,262,90,350/28,350,28,,dextral,,,,,,,,stretching,,no,,,,,,,
,,,,,,356/sv,356,266,90,,,,,,,,,,,,,,,,,,,,,,
